text,occurrence,label
Serjeant,5,Omission
Elmslie,5,Omission
Greenwood's,5,Omission
Görtz,5,Omission
Hunter,5,Omission
Margulies,5,Omission
Hume,5,Omission
Bergmann,5,Omission
Kennedy,5,Omission
"Altrincham, Lord",5,Omission
Spencer,4,Omission
daughter,4,Omission
the King,4,Omission
Ellie,4,Omission
a man holding its lead,4,Omission
his brother,4,Omission
Saunders,4,Omission
Sonneborn,4,Omission
Wolff,4,Omission
Fechheimer,4,Omission
a young man,4,Omission
"McCarren, [Senator]",4,Omission
Williams,4,Omission
Mrs Mackenzie,4,Omission
Carter,4,Omission
Eysenck,4,Omission
Mrs Pleadwell,4,Omission
Father Allan's Housekeeper,4,Omission
Edwards,4,Omission
Blacker,4,Omission
Father Macmillan,4,Omission
Scarlatti,4,Omission
his son,4,Omission
Crossman,4,Omission
a baby,4,Omission
Wilson,4,Omission
person unknown,4,Omission
Thompson,4,Omission
Dr Blyth,4,Omission
Miss McNeill,4,Omission
Chief Holies,4,Omission
Reiersøl,4,Omission
Dr. MacIntosh,4,Omission
one man,4,Omission
Mr. Johnston,4,Omission
Mrs KennedyFraser,4,Omission
Duke of Edinburgh,4,Omission
two people,4,Omission
group of African men,4,Omission
Professor Geddes,4,Omission
Mrs O'Henly,4,Omission
Schumann,4,Omission
the Peace children,4,Omission
Purcell,4,Omission
individuals,4,Omission
Paul,4,Omission
Tait,4,Omission
Croiset,4,Omission
Tschaikowsky,4,Omission
Schubert,4,Omission
a little girl,4,Omission
Wagner's,4,Omission
her mother,4,Omission
Raja of Talcher,4,Omission
Walliker,4,Omission
Mr Kennedy,4,Omission
Beardman,4,Omission
group of Indian men,4,Omission
A man,4,Omission
Berliner family,4,Omission
some men,4,Omission
McLaren,4,Omission
Longford,4,Omission
two boys,4,Omission
three women,4,Omission
Jurand,4,Omission
Huxley,3,Omission
a small child,3,Omission
Gates,3,Omission
Natives,3,Omission
Geissler,3,Omission
Emmett,3,Omission
Prince,3,Omission
Mendelssohn,3,Omission
a man holding her lead,3,Omission
Duke of York,3,Omission
a Western man,3,Omission
Corson's,3,Omission
Calum,3,Omission
Dr Heller,3,Omission
Porteus,3,Omission
Kant,3,Omission
Bechtle,3,Omission
Grjewski,3,Omission
Duke of Montrose,3,Omission
Family,3,Omission
Mrs Morrison,3,Omission
Whitmore,3,Omission
six men,3,Omission
Kirsty,3,Omission
Mr Glen,3,Omission
Tweedie,3,Omission
Godfrey,3,Omission
Bruce,3,Omission
Louis,3,Omission
Paget Twin,3,Omission
Hebb,3,Omission
and his wife,3,Omission
Dr Horst,3,Omission
Caristiona,3,Omission
Coolies,3,Omission
Florence,3,Omission
Cullen,3,Omission
Matson,3,Omission
members,3,Omission
the Queen,3,Omission
Two men,3,Omission
Santayana,3,Omission
Havemann,3,Omission
various colleagues,3,Omission
Professor Wallace,3,Omission
Bogle,3,Omission
Dr Lardner,3,Omission
"Willert, Lady",3,Omission
"Bartlett, Mrs",3,Omission
Graduates,3,Omission
Mr. Hansen,3,Omission
Beethoven,3,Omission
Mrs. Kennedy-Fraser,3,Omission
son,3,Omission
Baird,3,Omission
Kirkman,3,Omission
Dr Bolton,3,Omission
Woman,3,Omission
Holger Heyden and family,3,Omission
Hillary,3,Omission
Dr Grjewski,3,Omission
Bristo,3,Omission
father,3,Omission
Kulangara,3,Omission
"Grandin, Mme",3,Omission
Earl of Aberdeen,3,Omission
Burchell,3,Omission
Playfair,3,Omission
unidentified individuals,3,Omission
a Western woman,3,Omission
a child,3,Omission
Mrs Campbell,3,Omission
a man standing next to them,3,Omission
Spence,3,Omission
Fowler and Pearse families,3,Omission
Claude,3,Omission
Dr Guthrie,3,Omission
Joan,3,Omission
Whitfield,3,Omission
Humphrey,3,Omission
Achminow,3,Omission
Kingsley,3,Omission
Steele,3,Omission
Romulus,3,Omission
Busch,3,Omission
Earl of Egremont,3,Omission
Dean,3,Omission
William,3,Omission
Boring,3,Omission
Yvonne,3,Omission
ancestors,3,Omission
Brunner,3,Omission
Mowat,3,Omission
a man standing behind them,3,Omission
Deirdre,3,Omission
Oscar,3,Omission
Galvayne,3,Omission
Kacser,3,Omission
Oliver,3,Omission
Denell,3,Omission
Voltaire,3,Omission
Jack,3,Omission
Maxwell,3,Omission
Barker,3,Omission
the men,3,Omission
Hollitscher,3,Omission
Brahms,3,Omission
Handel,3,Omission
Calvin,3,Omission
Mother,3,Omission
Gomirato,3,Omission
Herdan,3,Omission
Locke,3,Omission
Lord Murray,3,Omission
Braden,2,Omission
Przewalski,2,Omission
Lord Cranstoun,2,Omission
a man standing behind it,2,Omission
Husen,2,Omission
Horner,2,Omission
Dyer,2,Omission
Drew,2,Omission
Duff,2,Omission
three cowboys,2,Omission
Nina,2,Omission
Miss Macneill,2,Omission
Marwick,2,Omission
Lawrence,2,Omission
Burnham,2,Omission
Messrs. Cooper,2,Omission
men working,2,Omission
Lord Ullin,2,Omission
Iain,2,Omission
Fleming,2,Omission
Dr Lake,2,Omission
Sullivan,2,Omission
Duncan,2,Omission
Street Hawker,2,Omission
his,2,Omission
Mitchison,2,Omission
Myers,2,Omission
Costa,2,Omission
a man driving a wagon,2,Omission
Miss Kennedy,2,Omission
Agnes,2,Omission
Darmois,2,Omission
Mr. Playfair,2,Omission
three Indian men,2,Omission
Crombie,2,Omission
unknown,2,Omission
Uncle John's wife,2,Omission
the note-taking student,2,Omission
Professor Mossman,2,Omission
"Zimmermann, Dr.",2,Omission
Iverson,2,Omission
Sperry,2,Omission
Lady S,2,Omission
Bononcini,2,Omission
writer,2,Omission
Mr Templeton,2,Omission
Berlyne,2,Omission
Brown,2,Omission
two children,2,Omission
Lady Elphinstone,2,Omission
Messrs. Darlot,2,Omission
Kerr,2,Omission
Hamburger,2,Omission
wedding,2,Omission
Harvey,2,Omission
other authors,2,Omission
Ruskin,2,Omission
Prejeyalski,2,Omission
Jollowitz,2,Omission
Gasparini,2,Omission
Dr. Bennett,2,Omission
Dr Donaldson,2,Omission
Mr Finlayson,2,Omission
Muslims,2,Omission
Koestlers,2,Omission
Mulatto,2,Omission
Mario,2,Omission
Creighton,2,Omission
Kennedy family members,2,Omission
and sister,2,Omission
Mr Kingston,2,Omission
Lawes,2,Omission
Mr Curwen,2,Omission
Ted,2,Omission
Kantian,2,Omission
Mrs Mathison,2,Omission
Hedges,2,Omission
General Morgan,2,Omission
King,2,Omission
other speakers,2,Omission
Stuart,2,Omission
mother,2,Omission
Gibbon,2,Omission
President,2,Omission
Mr. Bate,2,Omission
an unnamed correspondent,2,Omission
Mr. Catford,2,Omission
Vogel,2,Omission
an unknown man,2,Omission
Bruner,2,Omission
Sprigge,2,Omission
Miss McLeod,2,Omission
Earl of Home,2,Omission
Miss Drummond,2,Omission
Mrs McNeil,2,Omission
the rider,2,Omission
group of women,2,Omission
Sheila,2,Omission
Magda,2,Omission
various individuals,2,Omission
Bell,2,Omission
Eisler,2,Omission
family,2,Omission
Messrs. Lippencott,2,Omission
Vamos,2,Omission
Quentin,2,Omission
Yazdi-Zadeh,2,Omission
"Piprot, Father",2,Omission
Schoolboys,2,Omission
Miss MacNeil,2,Omission
a man holding its reins,2,Omission
Richardson,2,Omission
Duke of Wellington,2,Omission
Isabell,2,Omission
Hansel,2,Omission
Strandskov,2,Omission
Indians,2,Omission
Montgomery,2,Omission
"Norton-Taylor,",2,Omission
Eric,2,Omission
Woodrow,2,Omission
Finney,2,Omission
Porteous,2,Omission
Lady Ramernie,2,Omission
Pan Women,2,Omission
Vivian,2,Omission
several Indian men,2,Omission
Negrette,2,Omission
Flexner,2,Omission
brother,2,Omission
Henri,2,Omission
the man,2,Omission
Captain Gollan,2,Omission
Mr Bowers,2,Omission
Wigner,2,Omission
"Radunz, Mrs de",2,Omission
Earl How[e],2,Omission
Van Niekirks,2,Omission
et al.,2,Omission
Berteaux family,2,Omission
Duke of Hamilton,2,Omission
a street hawker,2,Omission
James,2,Omission
two men on horseback,2,Omission
Millais,2,Omission
Captain Brassey,2,Omission
Mr Locke,2,Omission
the king,2,Omission
Tischler,2,Omission
two other men,2,Omission
Lady Campbell,2,Omission
President Wilson,2,Omission
a kneeling man at an agricultural show,2,Omission
Mr Holmes,2,Omission
Andromache,2,Omission
Camus,2,Omission
Garvie,2,Omission
Nagel,2,Omission
Freer,2,Omission
Diana,2,Omission
Winkler family,2,Omission
Luporini,2,Omission
Strauss,2,Omission
Cuneo,2,Omission
an African man,2,Omission
his jockey,2,Omission
Professor Blackie,2,Omission
Lowe,2,Omission
Weissberg,2,Omission
Effie Jefferies' family,2,Omission
Miss Plunket,2,Omission
Russell,2,Omission
Duke of Argyll,2,Omission
Owen,2,Omission
Professor Thomson,2,Omission
Kitty,2,Omission
[Bantock] children,2,Omission
a man riding a black horse,2,Omission
Maisky,2,Omission
Wertheimer,2,Omission
Arne,2,Omission
My Dear Sir,2,Omission
Brenda,2,Omission
Anna,2,Omission
Paterson,2,Omission
Carmichael,2,Omission
Mini,2,Omission
Mr. Padhye,2,Omission
Lotte,2,Omission
Mrs MacInnes,2,Omission
Terry,2,Omission
Mr. Mundell,2,Omission
Latham,2,Omission
"Gutman, Dr",2,Omission
Professor Gaddum,2,Omission
Murry,2,Omission
Rajdatt,2,Omission
Charlotte,2,Omission
Horvath,2,Omission
Paget,2,Omission
Calum's wife,2,Omission
Feinberg,2,Omission
Wolf,2,Omission
Archie,2,Omission
Hutchison,2,Omission
Mackie,2,Omission
Dimson,2,Omission
members of the Kennedy family,2,Omission
companions,2,Omission
Duke of Buckingham,2,Omission
other parties,2,Omission
Miss Small,2,Omission
Mr. Koestler,2,Omission
Women,2,Omission
Bergman,2,Omission
Pedler,2,Omission
Pattison,2,Omission
group of children,2,Omission
McKenzie,2,Omission
Dick,2,Omission
Stalin,2,Omission
"a Pasi, toddy-collector",2,Omission
Chopin,2,Omission
"Reuter, Prof.",2,Omission
Duke of Beaufort,2,Omission
His Majesty the King,2,Omission
"John, 4th Lord Hay",2,Omission
son of the Rev. Dr. William Logie,2,Omission
Yule,2,Omission
Robert,2,Omission
Professor Turnbull,2,Omission
Caley,2,Omission
his family,2,Omission
Sir,2,Omission
Princess of Wales,2,Omission
Crowther,2,Omission
Gilbert,2,Omission
Messrs. Darlot Bros,2,Omission
Pollarolo,2,Omission
Christison,2,Omission
Pavlov,2,Omission
Bailey,2,Omission
Peace Family;,2,Omission
Galileo,2,Omission
Snyder,2,Omission
Mendel's,2,Omission
various,2,Omission
A Paget twin,2,Omission
President Taft,2,Omission
Mr. Guildford,2,Omission
Mr. Dean,2,Omission
Daphne,2,Omission
D J Finney,2,Omission
Earl of Derby,2,Omission
Dr. Carcono,2,Omission
Ruhemann,2,Omission
"Larkin, Mr.",2,Omission
Phillips,2,Omission
Erskine,2,Omission
Admiral Fisher,2,Omission
Chambers,2,Omission
his Mother,2,Omission
People,2,Omission
"Mitchell, Captain",2,Omission
Miss Gemmell,2,Omission
Mrs Bland,2,Omission
Helion family,2,Omission
Konyukhov,2,Omission
the wife of Professor Chrystal,2,Omission
Ray's Wife,2,Omission
Isobel,2,Omission
Durrant,2,Omission
His Majesty,2,Omission
Grant,2,Omission
Jones,2,Omission
Carruther,2,Omission
Webster,2,Omission
Mrs Langley,2,Omission
Sir John,2,Omission
"Her Majesty, the Queen of England",2,Omission
Asquith,2,Omission
African Man,2,Omission
Glück,2,Omission
her brother,2,Omission
Reich,2,Omission
Major Barton,2,Omission
"Barron, [Dr]",2,Omission
Lord Ullin's Daughter,2,Omission
Captain Halliburton,2,Omission
Levy-Bruhl,2,Omission
friends and family,2,Omission
Watson,2,Omission
"two boys, one girl",2,Omission
Miss Millar,2,Omission
Mrs O'Henley,2,Omission
their teacher,2,Omission
Duke,2,Omission
by Alan Greenwood and others,2,Omission
Miss Peace,2,Omission
Crossman family,2,Omission
Lysenko,2,Omission
Police,2,Omission
Horst,2,Omission
Mr Bain,2,Omission
Munro,2,Omission
Mr Mackenzie,2,Omission
Pask,2,Omission
Indian men,2,Omission
Mrs McDonald,2,Omission
Magoun-Lindsley,2,Omission
an unidentified female,2,Omission
Roche,2,Omission
Kopal,2,Omission
Arthur Koestler's grandfather,2,Omission
Bligh,2,Omission
Father Charles,2,Omission
Mr. Blair,2,Omission
"Mountbatten, [Lord]",2,Omission
A Khond,2,Omission
Parents,2,Omission
Hull,2,Omission
Pasi,2,Omission
Cortez,2,Omission
Rintoul,2,Omission
Maria,2,Omission
Captain Gisborne,2,Omission
Neisser,2,Omission
Hirth family,2,Omission
Holzinger,2,Omission
Roy,2,Omission
Miller,2,Omission
Anne,2,Omission
Mr Brown,2,Omission
Lord Palmerston,2,Omission
Whittaker,2,Omission
McNeill,2,Omission
Kepler,2,Omission
students,2,Omission
Susan Anderson Binnie,2,Omission
Nevil,2,Omission
a son,2,Omission
Arnold,2,Omission
Beck,2,Omission
Nancy,2,Omission
husband,2,Omission
Gramsci,2,Omission
Carroll,2,Omission
"Smith, [Mrs]",2,Omission
Cooke,2,Omission
Bertalanffy,2,Omission
Stevie,2,Omission
Newman,2,Omission
Arch. [Archibald] Maclean's Father,2,Omission
Forbes,2,Omission
Duke of Atholl,2,Omission
Balliol,2,Omission
Hadow,2,Omission
Professor Domm,2,Omission
Osborne,2,Omission
Mann,2,Omission
Lord Eldin,2,Omission
Strachey,2,Omission
two women,2,Omission
Robertson,2,Omission
"Huxley, Professor",2,Omission
a man standing in a field,2,Omission
Dewar,2,Omission
son of a brewer,2,Omission
Gastaut,2,Omission
Brabourne,2,Omission
wife,2,Omission
Emperor,2,Omission
son of the poet,2,Omission
Capt. [Captain] Ritchie,2,Omission
Finlay,2,Omission
Dr. Johnson,2,Omission
rider,2,Omission
De Valera,2,Omission
four African men,2,Omission
Whitaker,2,Omission
Mr Wilson,2,Omission
a family,2,Omission
two young boys,2,Omission
Weisl,2,Omission
Hall,2,Omission
a person,2,Omission
O'Sullivan,2,Omission
Earl of Crawford,2,Omission
"Keagy, Captain",2,Omission
Hegel,2,Omission
"Herskowitz, Mrs",2,Omission
Jewkes,2,Omission
"Rosenthal, [Dr]",2,Omission
Scherpenberg family,2,Omission
Mr. Burbank,2,Omission
Lord Chesterfield,2,Omission
Lee,2,Omission
Monro,2,Omission
"Gardiner, Lord",2,Omission
Mrs Mc[Donald],2,Omission
Crozier,2,Omission
His wife,2,Omission
Earl of Rochester,2,Omission
Gow,2,Omission
Captain Pleadwell,2,Omission
Duke of Westminster,2,Omission
Joyce,2,Omission
Meili,2,Omission
Earl of Moray,2,Omission
Evelyn,2,Omission
other men,2,Omission
Grey,2,Omission
Jennie,2,Omission
Khayingo,2,Omission
Mkaba,2,Omission
a group of geishas,1,Omission
Les,1,Omission
Belvedere,1,Omission
A Snake Charmer,1,Omission
Learmonth,1,Omission
The Myles Children,1,Omission
a man using a knife,1,Omission
a tribesman herding,1,Omission
Mr. Wilson,1,Omission
"Mrs Kennedy-Fraser,",1,Omission
Wittenberg,1,Omission
Milosz,1,Omission
Brand,1,Omission
rider lying on the ground,1,Omission
Margaret,1,Omission
a Welsh settler,1,Omission
Reid,1,Omission
a man and four children standing next to the house,1,Omission
Zabrovsky,1,Omission
Crookes,1,Omission
Prof McIntyre,1,Omission
grandson of Donald Macdonald,1,Omission
"He was the son of a farmer, James Mackinlay",1,Omission
Dr. Rutherford,1,Omission
Mr. Collings,1,Omission
Lady Strathcona,1,Omission
Miss Matthews,1,Omission
a shepherd,1,Omission
a man holding its rope lead,1,Omission
Mr. Penels,1,Omission
Miss Day,1,Omission
army colleagues,1,Omission
Prof. Christison,1,Omission
Castier,1,Omission
Man Feeding Geese,1,Omission
Sergeant-Major Farrant,1,Omission
a man and woman,1,Omission
Lord Advocate,1,Omission
Laird of Rosline,1,Omission
a man standing next to a Ficus Elastica bush,1,Omission
elder daughter of King Christian IX of Denmark,1,Omission
"He was the son of James Gregory (1638-1675) the mathematician,",1,Omission
son of a veterinary surgeon,1,Omission
Queen mother,1,Omission
Mr. Muir,1,Omission
Bayes,1,Omission
Muscatoon,1,Omission
Lord Minto,1,Omission
his secretary,1,Omission
Mrs. Morrow [Hove],1,Omission
a man sitting on a horse,1,Omission
a group of men standing around a wool press,1,Omission
Thai scientists,1,Omission
"Barrett,",1,Omission
Fraenkel,1,Omission
men selling donkeys,1,Omission
farm workers cattle dipping,1,Omission
son of Sir Thomas Hope,1,Omission
a man carrying two baskets of fruit,1,Omission
Kurt,1,Omission
a group of men working in a field,1,Omission
a milkman,1,Omission
group of young men,1,Omission
Suffragette at the Derby,1,Omission
Stout,1,Omission
Nicholson family,1,Omission
your secretary,1,Omission
an Indian man in front of a barn,1,Omission
an unidentified man and woman,1,Omission
Ruderfer,1,Omission
group of Bhuija women,1,Omission
"Khond men, women and children",1,Omission
Szymanowski,1,Omission
"Hautermans, [Dr];",1,Omission
a kennel boy,1,Omission
Professor Dunn,1,Omission
Admiral Cunnigham,1,Omission
Judge Rides Two Winners,1,Omission
widow,1,Omission
The Koestlers,1,Omission
Chatelherault,1,Omission
a Burmese carriage with two people,1,Omission
Stricker family,1,Omission
one woman,1,Omission
Dobie,1,Omission
the daughters,1,Omission
Carnegie,1,Omission
unkown,1,Omission
"his Episcopalian, Jacobite maternal grandmother",1,Omission
two men on a race track,1,Omission
Bach,1,Omission
MacFarlane-Grieve,1,Omission
Godfrey's Grandfather,1,Omission
Chinese Tapper,1,Omission
his Brother,1,Omission
two men standing in a field of stones,1,Omission
two female workers,1,Omission
Elsie,1,Omission
Victoria,1,Omission
Viscount Chaplin,1,Omission
two persons,1,Omission
son of a Derbyshire farmer,1,Omission
Mr. Birnie,1,Omission
a group of [Egyptian?] camel-soldiers,1,Omission
"Sudy, Mrs.",1,Omission
Tovey',1,Omission
"Astor,",1,Omission
Duchess,1,Omission
"Kahler,",1,Omission
son of a master-mason George P. Sutherland,1,Omission
Geikie,1,Omission
people in the foreground,1,Omission
A family sits outside of their hut,1,Omission
a group of Bhutias,1,Omission
one of Brunner's sons,1,Omission
two sheep herders watching in the background,1,Omission
Phillip,1,Omission
Mrs Hart,1,Omission
farmer's wife,1,Omission
Mr McCallum,1,Omission
a 14 year old boy standing in a brick [cellar?],1,Omission
"Callimachi, Princess",1,Omission
Dr. Trowell,1,Omission
Professor Cruikshank,1,Omission
Skeletons of Horse and Man,1,Omission
Earl Grey,1,Omission
men using a steam shovel,1,Omission
unknown correspondent,1,Omission
a man in traditional dress,1,Omission
His second wife,1,Omission
Mr and Mrs. P. McIntyre,1,Omission
one of two sons of Alexander Hamilton,1,Omission
LeSham,1,Omission
"the second son of General Sir Abraham Roberts, G.C.B. (1784-1873).",1,Omission
Kejser,1,Omission
the descendants of Rev John Baillie of Gairloch and of his brother,1,Omission
Mr. Laidlaw,1,Omission
Fletcher,1,Omission
a man on horseback,1,Omission
an older Khond man,1,Omission
which may be by Marie Laurencin,1,Omission
People at an Outdoor Market in Africa,1,Omission
Atherton,1,Omission
a Matabele family,1,Omission
Professor Kushner,1,Omission
Uri's,1,Omission
youngest daughter of Colin James MacKenzie,1,Omission
Hindu Priest at His Devotions,1,Omission
Mrs Cunninghame,1,Omission
Mr Bruther,1,Omission
Maidment,1,Omission
Mr. Vijayatunga,1,Omission
Messrs Clarke,1,Omission
Thaithong,1,Omission
an African man and woman wearing traditional dress,1,Omission
Shepherd Boy,1,Omission
men using horse drawn farm machinery,1,Omission
a man holding his reins,1,Omission
Goronwy,1,Omission
several other students,1,Omission
Cranstoun,1,Omission
Ewart,1,Omission
"Wallace, Mrs",1,Omission
Encampment Apache Indians,1,Omission
Mr. Morris,1,Omission
Indian Fuel Dryers,1,Omission
Conrad,1,Omission
men standing in a field,1,Omission
Disraeli,1,Omission
the Duke of Buckingham & Chandos,1,Omission
Mrs. Morrow,1,Omission
"his mother,",1,Omission
Oliphant,1,Omission
Lady Mary,1,Omission
Eszti,1,Omission
Dickson,1,Omission
small child,1,Omission
Knowles,1,Omission
Mrs Morley Jull,1,Omission
Kaethe,1,Omission
"The son of a brewer,",1,Omission
younger sister,1,Omission
Magritte,1,Omission
a couple dancing,1,Omission
Patrick,1,Omission
"Hershkowitz, Mrs:",1,Omission
Diderot,1,Omission
unknown person(s),1,Omission
A Bateke Chief,1,Omission
research workers and visitors,1,Omission
a man next to a barn,1,Omission
O'Hara,1,Omission
a man milking a Nellore cow,1,Omission
Mr Mason,1,Omission
Lord Cardcross,1,Omission
Mondadori,1,Omission
"a daughter of Robert Welwood of Garvock and Pitliver, Fife, and grand-daughter of Sir George Preston of Valleyfield",1,Omission
Charles E,1,Omission
Earl of Rosslyn,1,Omission
Capt. Fraser,1,Omission
Athalie,1,Omission
another man standing next to a horse,1,Omission
Hilgard,1,Omission
"family trees of the Baillie family, giving the descendants of Rev John Baillie of Gairloch and of his brother, Peter",1,Omission
daughter of R.G.Coke Esq,1,Omission
a Somali of the Herti tribe,1,Omission
"Harding, [Lord]",1,Omission
young child in a sling,1,Omission
an African [Zulu?] tribesman wearing traditional dress,1,Omission
Mr Fraser (Lord Fraser,1,Omission
Deacon Watkin,1,Omission
another man swings an ax,1,Omission
Sir Anthony Eden's secretary,1,Omission
their son,1,Omission
Mrs. Thomson,1,Omission
a man standing with a black cow,1,Omission
Salkazanov,1,Omission
Messrs. Oarlot Bros,1,Omission
young African child,1,Omission
Heyden family,1,Omission
Manager of Curumalan,1,Omission
Stapleton,1,Omission
group of Mashona men,1,Omission
"Hershkowitz, Mrs",1,Omission
Two subjects identified,1,Omission
Roux,1,Omission
two Monda [Munda] women,1,Omission
Uncle Eden,1,Omission
Professor Sweet,1,Omission
"Eckener, Dr.",1,Omission
Foucault,1,Omission
Sanfort,1,Omission
Dr Aitken,1,Omission
Sartre,1,Omission
African Man and Woman,1,Omission
Dodd,1,Omission
Mariott,1,Omission
All of the girls and their teacher are wearing saris except for one woman who is wearing a Western style dress,1,Omission
Pearl,1,Omission
Preer,1,Omission
Adoutte,1,Omission
Pliny,1,Omission
a man riding an alfalfa renovator,1,Omission
Professor Campbell,1,Omission
"a senior army officer, refugees and others",1,Omission
3 female graduates,1,Omission
three acrobats practicing their act,1,Omission
Serjeant's,1,Omission
Mrs. Loudon,1,Omission
MacDonald,1,Omission
Mrs A. Kestler,1,Omission
various members of staff,1,Omission
four members of the London Mounted Police,1,Omission
"son of a Church of Scotland missionary, the Rev David Brown Spence",1,Omission
Brandler,1,Omission
men using a Wolseley shearing machines,1,Omission
Dodds,1,Omission
professional colleagues and students,1,Omission
"a Burmese family of three, mother, father and son",1,Omission
Miss Wilson,1,Omission
Lashley,1,Omission
Fritsche,1,Omission
African natives,1,Omission
He was succeeded by his son,1,Omission
Loxley,1,Omission
a man standing with two bulls,1,Omission
(toddy-collector) at work,1,Omission
Dairy Commissioners,1,Omission
Crewe,1,Omission
Janet S.S Blyth,1,Omission
His Life at Stake,1,Omission
Bellagio,1,Omission
Weinberg,1,Omission
his Father and Uncle,1,Omission
gentleman,1,Omission
a woman milking a cow,1,Omission
Mohammedans,1,Omission
Elmhirst,1,Omission
Mr. Grey,1,Omission
lesser authors,1,Omission
Messrs. Oarlot Bros.,1,Omission
Group of Rajputs,1,Omission
Mounted Policemen at Play,1,Omission
his parents,1,Omission
Mumford's,1,Omission
"Gordon, eldest son of Sir William Gordon",1,Omission
Holton,1,Omission
Ballie,1,Omission
Hopkins,1,Omission
Lessing,1,Omission
Dr Hertz,1,Omission
Von Neumann,1,Omission
lady Thomson,1,Omission
Kopec,1,Omission
the son of a master tailor in Edinburgh.,1,Omission
Shertok,1,Omission
a family in front of it,1,Omission
female workers,1,Omission
Mr. Syme,1,Omission
a man holding a cow by the horns,1,Omission
Kaiser,1,Omission
Benjamin,1,Omission
and his parents,1,Omission
Chinese Coolies (Collectors and Tappers),1,Omission
the Duke of Portland,1,Omission
Sir Kenneth,1,Omission
Whitbread,1,Omission
"Elmer, Dr.",1,Omission
Duke of Cumberland,1,Omission
2 eager young men,1,Omission
"Alexander, Abbot of Scone",1,Omission
[Chinese?] labourers queuing,1,Omission
Black,1,Omission
hree [Bantock] children,1,Omission
five unidentified females,1,Omission
etc,1,Omission
first wife of Henry IV of France,1,Omission
my Father,1,Omission
Uncle John,1,Omission
Kikuyu boys,1,Omission
"son of an orchestral musician, teacher and conductor - was born in Duesseldorf, Germany, on 3 February 1845.",1,Omission
Prince of [?],1,Omission
farm house with a family,1,Omission
respondent,1,Omission
a Toda family,1,Omission
Lady Crichton-Browne,1,Omission
Guide,1,Omission
a man next to her,1,Omission
Duke of Beaufor,1,Omission
three young girls posing,1,Omission
a Maori woman,1,Omission
his descendant Patricia Spencer-Silver,1,Omission
