,description,field,desc_id,label,eadid
10308,"The Friendships of Jesus

",Title,26,{'Unknown'},BAI
10351,"The Permanent Significance of the Person of Jesus Christ

",Title,27,{'Unknown'},BAI
499,"A Minister's Library

",Title,28,{'Occupation'},BAI
4926,"Martin Luther, the man and his work

",Title,29,"{'Gendered-Pronoun', 'Masculine', 'Unknown', 'Generalization'}",BAI
1876,"Christ and Time

",Title,30,{'Unknown'},BAI
1830,"Centenary Service for Henry Duncan

",Title,31,{'Unknown'},BAI
11137,"Tiberius and John

",Title,32,{'Unknown'},BAI
3404,"Introduction (Fraenkel)

",Title,33,"{'Omission', 'Unknown'}",BAI
4595,"Letter regarding Ross Husband

",Title,34,{'Unknown'},BAI
5306,"Obituary of Hugh Ross Mackintosh

",Title,35,{'Unknown'},BAI
4844,"MacTaggart's 'Some Dogmas of Religion'

",Title,36,"{'Omission', 'Unknown'}",BAI
10341,"The New Gifford Lecturer, Professor Reinhold Niebuhr

",Title,37,{'Unknown'},BAI
4788,"Lund Sermon - Donald Macpherson Baillie

",Title,38,"{'Masculine', 'Unknown'}",BAI
8330,"Reviews of John Baillie's publications

",Title,39,{'Unknown'},BAI
8329,"Reviews by John Baillie

",Title,40,{'Unknown'},BAI
2356,"Correspondence with Henry Sloane Coffin, 1940-52

",Title,41,{'Unknown'},BAI
5419,"On being appointed Moderator Designate

",Title,42,"{'Occupation', 'Omission'}",BAI
2275,"Coronation of Elizabeth II

",Title,43,{'Unknown'},BAI
2745,"Eighth Virginia Woman's Forum

",Title,44,{'Gendered-Role'},BAI
1971,"Companion of Honour: letters of congratulation

",Title,45,{'Stereotype'},BAI
10761,"The place of Jesus Christ in modern Christianity

",Title,46,{'Unknown'},BAI
4673,"Letters from Annie Baillie and Donald Macpherson Baillie

",Title,47,{'Unknown'},BAI
5109,"National Council of Churches in New Zealand Women's Committee

",Title,48,{'Gendered-Role'},BAI
4679,"Letters from Florence Jewel Baillie

",Title,49,{'Unknown'},BAI
4680,"Letters from Florence Jewel Baillie (from general filing)

",Title,50,{'Unknown'},BAI
2573,"Death of Annie Baillie

",Title,51,{'Unknown'},BAI
5519,"Papers of Florence Jewel Baillie

",Title,52,{'Unknown'},BAI
2332,"Correspondence of Florence Jewel Baillie

",Title,53,{'Unknown'},BAI
4682,"Letters from John Baillie

",Title,54,{'Unknown'},BAI
4684,"Letters from Mai Fowler

",Title,55,{'Unknown'},BAI
4678,"Letters from Florence Fowler

",Title,56,{'Unknown'},BAI
4690,"Letters from Richard Fowler

",Title,57,{'Unknown'},BAI
4686,"Letters from Mary  Sarah Fowler

",Title,58,{'Unknown'},BAI
4922,"Marriage of John Baillie and Florence Jewel Fowler

",Title,59,{'Unknown'},BAI
3444,"Items relating to or assembled by Ian Fowler Baillie

",Title,60,{'Unknown'},BAI
3443,"Items relating to John Baillie

",Title,61,{'Unknown'},BAI
1559,"Biographical writing on John Baillie by Ian Fowler Baillie

",Title,62,{'Unknown'},BAI
5583,"Papers relating to John Baillie, Free Church minister, Gairloch

",Title,63,"{'Occupation', 'Unknown'}",BAI
5580,"Papers relating to Elizabeth Catherine (Elsa) Gallant

",Title,64,{'Unknown'},BAI
2632,"Diary of Elizabeth Catherine (Elsa) Gallant

",Title,65,{'Unknown'},BAI
6301,"Photograph of Elizabeth Catherine Gallant

",Title,66,{'Unknown'},BAI
6303,"Photograph of Elizabeth Catherine Gallant's gravestone

",Title,67,{'Unknown'},BAI
3521,John Baillie: posthumous,Title,68,{'Unknown'},BAI
4793,"MA degree

",Title,69,{'Generalization'},BAI
3116,"Honorary DD degree

",Title,70,{'Stereotype'},BAI
1683,"Call to St Columba, Kilmacolm

",Title,71,{'Unknown'},BAI
8030,"Printed articles about Donald Macpherson Baillie

",Title,72,{'Unknown'},BAI
2550,"Cuttings relating to the death of Donald Macpherson Baillie

",Title,73,{'Unknown'},BAI
5572,"Papers relating to Annie Baillie

",Title,74,{'Unknown'},BAI
4770,"List of wreaths at the funeral of Donald Macpherson Baillie

",Title,75,{'Unknown'},BAI
5438,"Order of service from the funeral of Donald Macpherson Baillie

",Title,76,{'Unknown'},BAI
5031,"Minutes relating to the death of Donald Macpherson Baillie

",Title,77,{'Unknown'},BAI
5584,"Papers relating to Peter Baillie

",Title,78,{'Unknown'},BAI
4791,"M.B., Ch.B. degree

",Title,79,{'Generalization'},BAI
5577,"Papers relating to Donald Macpherson Baillie

",Title,80,{'Unknown'},BAI
2284,"Correspondence and related items, including letters from William Roxburgh Forrester and Reinhold Niebuhr. Includes letters instructing publishers as to recipients of complimentary copies of Donald Macpherson Baillie's To whom shall we go? ( 1955) and John Baillie's A diary of readings ( 1955).

",Scope and Contents,81,"{'Occupation', 'Unknown'}",BAI
711,"An essay written by John Baillie as a student at the University of Edinburgh or New College, examining the nature of causation and methods used in studying it.

",Scope and Contents,82,{'Unknown'},BAI
1630,"Broadcast by John Baillie reviewing Christ and Time ( 1951).

",Scope and Contents,83,{'Unknown'},BAI
8443,"Selected notices, letters and similar, including a financial appeal notice from the General Council and the Graduates' Association of the University of Edinburgh and a letter from Hugh T Kerr.

",Scope and Contents,84,{'Unknown'},BAI
5001,"Memorials and obituaries of John Baillie, from publications, newspapers, minutes and other sources. Authors include Isobel Mary Forrester, John McIntyre, Sir Edward Appleton, Henry Pitney Van Dusen. Also the texts of funeral readings.

",Scope and Contents,85,"{'Masculine', 'Occupation', 'Unknown', 'Gendered-Role'}",BAI
3649,"Lecture by John Baillie, examining the issue of Conversion within Christianity.

",Scope and Contents,86,{'Unknown'},BAI
1641,"Broadcast of the service comemorating the centenary of the death of Henry Duncan, at which John Baillie was preacher. He gave a biographical talk on Duncan's life and work.

",Scope and Contents,87,"{'Occupation', 'Masculine', 'Gendered-Pronoun', 'Unknown'}",BAI
701,"An essay written by John Baillie as a student at New College, Edinburgh, examining the nature of knowledge and belief, and how these have changed over time.

",Scope and Contents,88,{'Unknown'},BAI
2538,"Cutting of an obituary of John Baillie (1829-1891).

",Scope and Contents,89,{'Unknown'},BAI
2280,"Correspondence and related items, including letters from John Keith Benton, Hachiro Yuasa, Reinhold Niebuhr. Includes material relating to John Baillie's retiral, a visit to Hungary, student lists and documents relating to the establishment of closer links between the Church of Scotland, Church of England, Episcopal Church of Scotland and Presbyterian Church of England.

",Scope and Contents,90,{'Unknown'},BAI
2945,"For Prof McIntyre

",Title,91,"{'Omission', 'Unknown'}",BAI
11333,"Undated lecture by John Baillie, examining the influence of love, joy and peace in the history of the world.

",Scope and Contents,92,{'Unknown'},BAI
4790,"Lyndon Baines Johnson  Diary of Private Prayer

",Title,93,{'Unknown'},BAI
8445,"Selection of miscellaneous notes and ephemera, including items removed by John Baillie from his pocket book on different occasions (including United States Immigrant Identification cards for himself and his wife, syllabus cards and agendas of meetings). Also includes notes on ecumenism, press cuttings and calling cards of Rev. John Baillie of Gairloch.
",Scope and Contents,94,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role'}",BAI
540,"A notebook containing early poetry by John Baillie, including one about Gairloch and another about the Boer War.

",Scope and Contents,95,{'Unknown'},BAI
5303,"Obituary by John Baillie of Hugh Ross Mackintosh, for the Edinburgh Presbytery of the Church of Scotland.

",Scope and Contents,96,"{'Masculine', 'Unknown'}",BAI
707,"An essay written by John Baillie as a student at the University of Edinburgh or New College, examining Plato's views on knowledge and how learning occurs.

",Scope and Contents,97,"{'Masculine', 'Unknown'}",BAI
2292,"Correspondence and related items, including letters from his wife Florence Jewel Baillie, his brother Donald Macpherson Baillie, Ifor Leslie Evans and Reinhold Niebuhr. Includes material relating to the estate of John Baillie's father-in-law, Richard Fowler.

",Scope and Contents,98,"{'Gendered-Pronoun', 'Unknown', 'Masculine', 'Gendered-Role', 'Feminine'}",BAI
1626,"Broadcast by John Baillie examining the values which are at the heart of Christianity and what the Bible says on this issue.

",Scope and Contents,99,"{'Masculine', 'Unknown'}",BAI
2278,"Correspondence and related items received by John Baillie while he was in France with the YMCA, from friends, colleagues in others in (mostly) Britain, the United States and Canada and including the solicitors handling Richard Fowler's estate, his cousin Elizabeth Catherine (Elsa) Gallant, his brother Donald Macpherson Baillie, his cousin Ian Anderson, Reinhold Niebuhr, George Freeland Barbour and various publishers.

",Scope and Contents,100,"{'Gendered-Pronoun', 'Unknown', 'Masculine', 'Gendered-Role', 'Occupation'}",BAI
2390,"Correspondence, press cuttings and related items, including letters from his brother Donald Macpherson Baille, Alexander Martin, Reinhold Niebuhr, Henry Sloane Coffin, William Temple (the Archbishop of Canterbury) and the Duke of Montrose. Much of the correspondence relates to John Baillie's appointment as Moderator Designate of the General Assembly of the Church of Scotland.

",Scope and Contents,101,"{'Gendered-Pronoun', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role', 'Occupation'}",BAI
8608,"Study booklets for women's groups.

",Scope and Contents,102,"{'Stereotype', 'Gendered-Role'}",BAI
1592,"Bound photograph, programme and list of those present, presented to John Baillie to commemorate his visit to Geelong in 1948.

",Scope and Contents,103,"{'Gendered-Pronoun', 'Masculine', 'Unknown'}",BAI
4697,"Letters marked by Florence Jewel Baillie as 'to answer' from friends in the United States.

",Scope and Contents,104,"{'Unknown', 'Feminine'}",BAI
2905,"Files of items relating to John Baillie, compiled by Florence Jewel Baillie and/or other members of the Baillie family, to indicate periods in John Baillie's life. Includes items relating to awards achieved, lectures given and events attended.

",Scope and Contents,105,"{'Masculine', 'Unknown', 'Feminine'}",BAI
4681,"Letters from Florence Jewel Fowler to her aunts, Mary & Sarah Fowler, and her father, Richard Fowler; letters from John Baillie to Mai Fowler.

",Scope and Contents,106,"{'Gendered-Pronoun', 'Unknown', 'Masculine', 'Gendered-Role', 'Feminine'}",BAI
2818,"Exam question paper to University of Edinburgh preliminary examination in Logic, with John Baillie's answers.

",Scope and Contents,107,"{'Masculine', 'Unknown'}",BAI
343,"2 photographs of Donald Macpherson Baillie standing by a lake.

",Scope and Contents,108,"{'Masculine', 'Unknown'}",BAI
2841,"Extracts from memorial sermons given at a memorial service to Peter Baillie.

",Scope and Contents,109,{'Unknown'},BAI
4748,"Letters, diary, reports, travel documentation, notes and notebooks relating to John Baillie's visit Germany as part of a British Council of Churches delegation.

",Scope and Contents,110,"{'Masculine', 'Unknown'}",BAI
4537,"Letter from John Baillie to [David Morison] Ross, detailing/assessing the student life, philosophy and general character of Peter Ross Husband (deceased), and quoted at length in Ross's biography of Husband.

",Scope and Contents,111,"{'Masculine', 'Unknown', 'Gendered-Role'}",BAI
1619,"Broadcast by John Baillie and WD Barnetson, discussing aspects of life, such as politics, religion and family, in 1951 and comparing them with fifty years previously.

",Scope and Contents,112,"{'Masculine', 'Unknown'}",BAI
2298,"Correspondence and related items, relating to the attendence of John Baillie and his wife at the coronation of Elizabeth II.

",Scope and Contents,113,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role'}",BAI
8325,"Review by John Baillie of The Seed and the Fruit: Christian Morality in a Time of Transition ( 1953), a book by Leslie Stannard Hunter, Bishop of Sheffield.

",Scope and Contents,114,"{'Occupation', 'Masculine', 'Unknown', 'Gendered-Role'}",BAI
2393,"Correspondence, press cuttings and related items, including material relating to the Ridell Memorial lectures and the Edinburgh Famine Relief Committee and letters from his wife Florence Jewel Baillie, his brother Donald Macpherson Baillie, Arnold Joseph Toynbee, publishers and individuals within the YMCA.

",Scope and Contents,115,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Masculine', 'Gendered-Role', 'Occupation', 'Feminine'}",BAI
2285,"Correspondence and related items, including letters from William Roxburgh Forrester and some earlier ( 1939-1953) letters from Henry Sloane Coffin. Also correspondence with Anderson & Nairn, stockbrokers and Shepherd & Wedderburn WS, solicitors, regarding investments and the estate of Donald Macpherson Baillie.

",Scope and Contents,116,"{'Masculine', 'Occupation', 'Unknown'}",BAI
10742,"The papers of Florence Jewel Baillie consist of:correspondence from John Bailliecorrepondence with the wider Fowler and Pearse familiesdiariesgeneral papers and correspondence

",Scope and Contents,117,"{'Omission', 'Masculine', 'Unknown', 'Feminine'}",BAI
708,"An essay written by John Baillie as a student at the University of Edinburgh or New College, examining psychological approaches to the relationship between mind and body.

",Scope and Contents,118,{'Unknown'},BAI
4985,"Medical registration certificate issued to Peter Baillie by the Scottish branch of the General Medical Council.

",Scope and Contents,119,{'Unknown'},BAI
2842,"Extracts from minutes of the Foreign Mission Committee of the Church of Scotland and the Senate and Faculty of Divinity of the University of St Andrews relating to the death of Donald Macpherson Baillie.

",Scope and Contents,120,{'Unknown'},BAI
7735,"Photographs and picture postcards primarily of New Zealand, Hawaii and Sri Lanka, including many of friends and people John and Jewel Baillie met while travelling.",Scope and Contents,121,"{'Masculine', 'Unknown', 'Feminine'}",BAI
2385,"Correspondence, addresses, invitations, itineraries, leaflets, brochures, travel documentation, press cuttings and other items relating to the trip taken by John Baillie and his wife to Australia, New Zealand and the United States in 1948. Includes material relating to the Presbyterian Church of New Zealand and letters from John McIntyre, St Andrews College, Sydney.

",Scope and Contents,122,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role'}",BAI
1496,"Baillie genealogy consists of:2 family trees of the Baillie family, giving the descendants of Rev John Baillie of Gairloch and of his brother, Peter.biographical notes on Elizabeth Catherine Gallant and Ian & Mona Anderson

",Scope and Contents,123,"{'Gendered-Pronoun', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role'}",BAI
704,"An essay written by John Baillie as a student at New College, Edinburgh, examining various attitudes to the question of immortality and problems associated with it. Annotated as having been marked by Alexander Martin.

",Scope and Contents,124,"{'Masculine', 'Unknown'}",BAI
4715,"Letters received by Peter Baillie primarily while he was in India, and letters to the family following his death.

",Scope and Contents,125,"{'Gendered-Pronoun', 'Masculine'}",BAI
536,"A lecture written by John Baillie as a student at the University of Edinburgh or New College, examining conflicts between theology, as taught to and learned by students of divinity, and the religious experience they have as individuals.

",Scope and Contents,126,"{'Masculine', 'Unknown'}",BAI
11337,"Undated lecture by John Baillie, looking at the conception of God's Kingdom, with its origins in Jewish thinking and developed by Jesus.

",Scope and Contents,127,"{'Masculine', 'Unknown'}",BAI
3056,"Guidebook: Walks and Talks about Shere ( c1915), describing the area where John and Florence Jewel Baillie took their honeymoon.

",Scope and Contents,128,"{'Masculine', 'Unknown', 'Feminine'}",BAI
4721,"Letters to Florence Jewel Baillie from family members, arranged alphabetically by sender. Includes Annie Baillie, Donald Macpherson Baillie and members of the Fowler, Pearse and Gillane families.

",Scope and Contents,129,"{'Masculine', 'Omission', 'Unknown', 'Feminine'}",BAI
386,"3 manuscripts of The Sense and the Presence of God, handwritten (with revisions) and typewritten (2 versions)  correspondence to and received by John and Jewel Baillie, Gifford lecture programmes and notes

",Scope and Contents,130,"{'Masculine', 'Unknown', 'Feminine'}",BAI
8442,"Selected items relating to John Baillie, including his YMCA identification from the First World War, correspondence, press cuttings and club handbooks.

",Scope and Contents,131,"{'Gendered-Pronoun', 'Masculine', 'Unknown'}",BAI
713,"An essay written by John Baillie as a student at the University of Edinburgh, examining definitions of and justifications for non-resistance and how this relates to both Ethics and Christianity.

",Scope and Contents,132,"{'Masculine', 'Unknown'}",BAI
1639,"Broadcast by John Baillie, reviewing previous ones in a series examining the relationship between science and religion.

",Scope and Contents,133,"{'Masculine', 'Unknown'}",BAI
5498,"Paper examining the modern novel, looking at authors such as Charles Dickens, Sir Walter Scott, Virginia Woolf and DH Lawrence.

",Scope and Contents,134,"{'Masculine', 'Occupation', 'Unknown', 'Gendered-Role'}",BAI
1622,"Broadcast by John Baillie examining the issue of resurrection within Christianity.

",Scope and Contents,135,"{'Masculine', 'Unknown'}",BAI
5497,"Paper entitled Conversion, accompanied by notes and by a letter to John Baillie from Donald Macpherson Baillie offering his opinion. The paper looks at theological issues such as baptism and conversion, puting them in a historical context

",Scope and Contents,136,"{'Gendered-Pronoun', 'Masculine', 'Unknown'}",BAI
6302,"Photograph of Elizabeth Catherine Gallant in a nursing (possibly matron's) uniform.

",Scope and Contents,137,"{'Occupation', 'Unknown', 'Gendered-Role'}",BAI
5283,"Notes taken by Florence Jewel Baillie on history, culture, geography and other aspects of New Zealand; correspondence (including letters to her mother); lists and itineraries.

",Scope and Contents,138,"{'Gendered-Pronoun', 'Omission', 'Feminine', 'Gendered-Role'}",BAI
544,"A notebook predominantly containing quotations from The Life and Letters of Walter H Page by Burton J Kendrick and also various pieces of poetry.

",Scope and Contents,139,{'Unknown'},BAI
3446,"Itineraries, programmes and correspondence relating to John Baillie's tour of the United States as Danforth visiting lecturer, as part of the Arts Programme of the Association of American Colleges.

",Scope and Contents,140,"{'Occupation', 'Unknown'}",BAI
5044,"Mixture of press cuttings covering many subjects including articles on Deitrich Bonhoeffer and Reinhold Niebuhr, Second World War, housekeeping tips and matters of general interest to Florence Jewel Baillie.

",Scope and Contents,141,"{'Stereotype', 'Unknown', 'Feminine'}",BAI
539,"A mixed accumulation of different items relating to John and Florence Jewel Baillie, to their family. Includes items to do with Ian Fowler Baillie's childhood and correspondence with Richard and Florence Fowler, Annie Baillie and Donald Macpherson Baillie. Also texts of addresses/lectures by John Baillie and Reinhold Niebuhr.  Later descriptive notes are attached to some items.

",Scope and Contents,142,"{'Masculine', 'Unknown', 'Feminine'}",BAI
4716,"Letters received from Henry Sloane Coffin, with an enclosed letter from Hugh Martin and copies of John Baillie's reply to Coffin.",Scope and Contents,143,"{'Masculine', 'Unknown'}",BAI
1627,"Broadcast by John Baillie of a prayer.

",Scope and Contents,144,"{'Masculine', 'Unknown'}",BAI
8326,"Review by John Baillie of the fifth chapter of John McTaggart Ellis McTaggart's Some Dogmas of Religion ( 1906) which deals with the concept of free will.

",Scope and Contents,145,"{'Masculine', 'Unknown'}",BAI
4724,"Letters to Florence Jewel Baillie from her mother, Florence Fowler, covering personal, family and social matters.

",Scope and Contents,146,"{'Gendered-Pronoun', 'Stereotype', 'Gendered-Role', 'Feminine'}",BAI
1640,"Broadcast by John Baillie, talking of his time in the United States and Canada and of Scottish influences there.

",Scope and Contents,147,"{'Gendered-Pronoun', 'Masculine'}",BAI
384,"3 donation cards for a fund to provide for a memorial to John Baillie.

",Scope and Contents,148,"{'Masculine', 'Unknown'}",BAI
2348,"Correspondence relating to lecture and other invitations from various academic institutions in the United States and Canada to John Baillie, which he declined to accept.

",Scope and Contents,149,"{'Gendered-Pronoun', 'Masculine'}",BAI
2376,"Correspondence with publishers (Oxford University Press and Charles Scribner's Sons) and correspondence with friends, colleagues and other readers relating to Our knowledge of God ( 1939).

",Scope and Contents,150,"{'Occupation', 'Unknown', 'Gendered-Role'}",BAI
705,"An essay written by John Baillie as a student at the University of Edinburgh opr New College, examining what constitutes 'religion', including its relationship to both morality and philosophy.

",Scope and Contents,151,"{'Masculine', 'Unknown'}",BAI
11338,"Undated lecture by John Baillie, looking at the early history within the Christian Church and how it was organised.

",Scope and Contents,152,"{'Masculine', 'Unknown'}",BAI
1638,"Broadcast by John Baillie, examining the meaning of Whitsunday (includes prayers).

",Scope and Contents,153,"{'Masculine', 'Unknown'}",BAI
1579,"Booklets and similar containing biographical, obituary and book review articles about Donald Macpherson Baillie and his work.

",Scope and Contents,154,"{'Gendered-Pronoun', 'Masculine'}",BAI
11641,"commonplace notes; commonplace books; assorted loose-leaf notes; poetry by John Baillie in loose-leaf and notebook form; school class books

",Scope and Contents,155,"{'Masculine', 'Unknown'}",BAI
340,"2 notebooks containing cuttings of obituaries on John Baillie from various newspapers.

",Scope and Contents,156,"{'Masculine', 'Unknown'}",BAI
699,"An essay written by John Baillie as a student at New College, Edinburgh, examining how the preaching of John the Baptist relates to the gospel of Jesus Christ.

",Scope and Contents,157,"{'Masculine', 'Unknown'}",BAI
5251,"Notes made by John Baillie, most probably for lectures he gave on Logic while studying at New College Edinburgh: containing basic terminology, remarks on student's work, and related material.

",Scope and Contents,158,"{'Gendered-Pronoun', 'Masculine'}",BAI
870,"Article by John Baillie examining various texts, historical and more contemporary, including those by Plato, St Thomas Acquinas, John Calvin, Georg Wilhelm Friedrich Hegel, Frederick Robert Tennant and Karl Barth.

",Scope and Contents,159,"{'Masculine', 'Unknown'}",BAI
1629,"Broadcast by John Baillie of his sermon given to the YMCA at Bristol Cathedral, examining aspects of history with particular reference to puting Isaiah ito context.

",Scope and Contents,160,"{'Gendered-Pronoun', 'Masculine', 'Unknown'}",BAI
702,"An essay written by John Baillie as a student at New College, Edinburgh, examining the psychology of religion and the influence of the subliminal and subconscious in the individual.

",Scope and Contents,161,"{'Masculine', 'Unknown'}",BAI
11254,"Typescript of The Growth of Christian Architecture as Exemplified by some French Cathedrals, the text of a lecture John Baillie gave while in France during the First World War.

",Scope and Contents,162,{'Unknown'},BAI
1831,"Certificate awarding Donald Macpherson Baillie an Honourable Mention, following an examination in Mental Philosophy.

",Scope and Contents,163,"{'Stereotype', 'Masculine', 'Unknown'}",BAI
7778,"Photographs taken by Peter Baillie in India. Subjects include other missionaries, local people and scenes.

",Scope and Contents,164,{'Unknown'},BAI
2386,"Correspondence, itineraries, press cuttings and related items, including letters from his brother Donald Macpherson Baillie, Mona Anderson, the Duke of Montrose, William Temple (the Archbishop of Canterbury), George Simpson Duncan, Lewis Legertwood Legg Cameron and Sir Neil John Kennedy Cochran-Patrick. Much of the correspondence relates to Church of Scotland business, particularly visits to churches and congregations as Moderator as well as to John Baillie's BBC radio broadcasts.

",Scope and Contents,165,"{'Gendered-Pronoun', 'Unknown', 'Omission', 'Masculine', 'Gendered-Role', 'Occupation'}",BAI
11288,"Typescript to the posthumously published A Reasoned Faith, a collection of essays by John Baillie.

",Scope and Contents,166,"{'Masculine', 'Unknown'}",BAI
